text,labels
1. Find Margot Robbie's role and location at the San Diego Comic Con International in 2016.,"Margot Robbie portrayed a character at the 2016 San Diego Comic Con International in San Diego, California."
2. Find Ryan Gosling's role and location at the San Diego Comic Con International in 2017.,"Ryan Gosling portrayed a character at the 2017 San Diego Comic Con International in San Diego, California."
3. Find the main characters and their roles in the movie Barbie.,Margot Robbie stars as Barbie and Ryan Gosling stars as Ken in the movie Barbie.
"At the dance party, Barbie develops bad breath, cellulite, and flat feet overnight. How does she plan to cure these afflictions?","Barbie seeks out Weird Barbie, a disfigured doll, who tells her she must find the child playing with her in the real world to cure her afflictions."
"At the dance party, Barbie is suddenly stricken with worries about mortality. What does she do the next day?","She develops bad breath, cellulite, and flat feet, disrupting her usual routines and the classic perfection of the Barbies."
Describe Barbie's concerns at the dance party.,"Barbie suddenly becomes worried about mortality and develops bad breath, cellulite, and flat feet."
Describe Barbie's sudden physical changes at the dance party.,"Barbie develops bad breath, cellulite, and flat feet at the dance party."
Describe the conflict between Barbie and the Mattel executives.,"After Barbie becomes human and returns to the real world, Mattel's CEO orders her recapture and attempts to put her in a toy box for remanufacturing. Barbie escapes with Gloria and Sasha's help and the three travel to Barbieland with Mattel executives in pursuit."
Describe the matriarchal society in Barbieland.,"The society in Barbieland is matriarchal, with Barbies holding prestigious jobs in science, politics, media, and other fields while the Kens spend their days playing at the beach."
Describe the society in which Barbie and her fellow dolls live.,"Barbie and her fellow dolls reside in Barbieland, a matriarchal society populated by different versions of Barbies, Kens, and a group of discontinued models."
Describe the society of Barbieland,"The society of Barbieland is matriarchal and populated by different versions of Barbies, Kens, and discontinued models who are treated as outcasts."
Explain the societal hierarchy in Barbieland.,"Barbieland is a matriarchal society populated by different versions of Barbies and Kens. The Barbies hold prestigious jobs in science, politics, media, and so on, while the Kens spend their days playing at the beach."
Find Margot Robbie's cast information,"Margot Robbie as Barbie, often referred to as ""Stereotypical Barbie""[10][11]"
Find out who is the one Barbie needs to meet in order to cure her afflictions.,"Weird Barbie, a disfigured doll, tells her she must find the child playing with her in the real world to cure her afflictions."
Find Ryan Gosling's cast information,"Ryan Gosling as Ken, often referred to as ""Beach Ken""[18]"
